event_id,match_id,event_minute,event_type,event_comment
19,91632e9e,29',Attempt Missed,Attempt missed. Sergio Córdova's (St. Louis CITY SC) with right footed shot from the left half-space outside the box with an xG of 3% goes over to the right.
18,91632e9e,27',Foul,"Dante Polvara (St. Louis CITY SC) wins a free kick, after being fouled by Agustín Ojeda (New York City Football Club)."
17,91632e9e,27',Corner,"Corner from the left, (St. Louis CITY SC). Executed by Marcel Hartel."
16,91632e9e,26',Attempt Saved,Attempt saved. Marcel Hartel's (St. Louis CITY SC) with right footed shot from the central position outside the box with an xG of 10% is saved by Matt Freese.
15,91632e9e,21',Foul,"Dante Polvara (St. Louis CITY SC) wins a free kick, after being fouled by Nicolás Fernández (New York City Football Club)."
14,91632e9e,21',Attempt Saved,Attempt saved. Nicolás Fernández's (New York City Football Club) with left footed shot from the central position outside the box with an xG of 4% is saved by Roman Bürki.
13,91632e9e,18',Attempt Saved,Attempt blocked. Nicolás Fernández's (New York City Football Club) with right footed shot from the right side of the box with an xG of 16% is blocked by Rafael Santos.
12,91632e9e,15',Foul,"Nicolás Fernández (New York City Football Club) wins a free kick, after being fouled by Timo Baumgartl (St. Louis CITY SC)."
11,91632e9e,11',Attempt Saved,Attempt blocked. Simon Becher's (St. Louis CITY SC) with right footed shot from the center of the box with an xG of 12% is blocked by Aiden O'Neill.
10,91632e9e,11',Attempt Missed,Marcel Hartel (St. Louis CITY SC) with right footed shot from the center of the box with an xG of 27%.
9,91632e9e,10',Offside,"Offside, New York City Football Club. Nicolás Fernández is caught offside."
